dir,date,result,note
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.35-mass0.05-mh100-co0.5-phase120,2023-6-28-20:45:43,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.54-mass0.09-mh50-co1.5-phase0,2023-6-28-22:1:51,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.54-mass0.09-mh50-co0.5-phase45,2023-6-28-22:3:53,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.54-mass0.09-mh50-co1.5-phase45,2023-6-28-22:4:55,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.54-mass0.09-mh50-co1.5-phase90,2023-6-28-22:7:3,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.54-mass0.09-mh50-co0.5-phase0,2023-6-28-21:58:5,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.54-mass0.09-mh50-co0.5-phase90,2023-6-28-22:6:53,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.35-mass0.05-mh100-co0.5-phase90,2023-6-28-20:27:58,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.54-mass0.09-mh50-co0.5-phase120,2023-6-28-22:9:17,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.54-mass0.09-mh50-co0.5-phase140,2023-6-28-22:10:2,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.54-mass0.09-mh50-co0.5-phase0,2023-6-28-22:12:8,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.54-mass0.09-mh50-co0.5-phase45,2023-6-28-22:14:37,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.54-mass0.09-mh50-co1.5-phase120,2023-6-28-22:10:0,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.54-mass0.09-mh50-co1.5-phase45,2023-6-28-22:17:8,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.54-mass0.09-mh50-co1.5-phase120,2023-6-28-22:20:22,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.54-mass0.09-mh50-co1.5-phase0,2023-6-28-22:12:57,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.54-mass0.09-mh50-co0.5-phase140,2023-6-28-22:23:41,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.54-mass0.09-mh50-co1.5-phase140,2023-6-28-22:11:58,FAILED,division by zero 
